"","item","outfit","outfit_t","outfit_p","outfit_pholm","infit","infit_t","infit_p","infit_pholm"
"1","Applause1",1.55791695850846,3.48562513635098,0.000490988518512663,0.0446799551846523,1.38071669268068,2.73716394434952,0.00619714005847571,0.532954045028911
"2","Ball1Mean",0.914423395643275,-0.421464742122774,0.673415751903691,1,0.971317673566635,-0.291877063333492,0.770380621068366,1
"3","Ball1Median",1.50273129610974,1.34739438388586,0.177853248404219,1,0.853079731771156,-1.22518322614195,0.220506193000165,1
"4","Ball1Mode",1.27796554088401,0.811547889057213,0.417051103227907,1,0.95259426344675,-0.396242654452477,0.69192602728949,1
"5","Ball2",0.90123232862971,-1.1457280054893,0.251907712280826,1,0.913098997219908,-1.0741837885748,0.282740316764083,1
"6","Ball3",0.861121874707326,-1.74146242877576,0.0816025534904405,1,0.87175291278074,-1.69644616265572,0.0898014177123735,1
"7","Boat1",0.916365271613411,-0.808592813787086,0.418749399673488,1,0.944826543284207,-0.767768433596098,0.442624771315335,1
"8","Crab2",1.46361934951397,3.04789985557964,0.00230446711130833,0.202793105795133,1.33025893689286,2.42057755047006,0.0154958736413938,1
"9","Crab3",1.06182766846452,0.526390144236967,0.598617162064386,1,1.06248253943015,0.530276878844205,0.595919974960892,1
"10","Headache",0.940349293984507,-0.620055912154468,0.535220976807084,1,0.935630295846813,-0.695013765668461,0.487046674799135,1
"11","Max4",0.937744499844643,-0.431027072987325,0.666448685449546,1,0.975330582075469,-0.254701759981684,0.798953456800638,1
"12","Max5",0.798424670866315,-3.3749214615723,0.000738367595207122,0.0657147159734339,0.815586142753441,-3.3678530671179,0.000757559581753087,0.0689379219395309
"13","ProbRed",0.92543903348716,-0.579682507474849,0.562128741731513,1,0.932436749247624,-0.669542131462388,0.503149714370155,1
"14","Statue6",1.45859695017488,2.73395567189605,0.00625784685074065,0.531916982312955,1.26409653301343,2.0602197699191,0.0393775357566409,1
