"","d","tau1","tau2","tau3","tau4","tau5","SE_d","SE_tau1","SE_tau2","SE_tau3","SE_tau4","SE_tau5","tt_1","tt_2","tt_3","tt_4","tt_5"
"Applause1",0.0713983267806804,-1.30109285790982,0.40597337785503,1.07055400215174,-0.246832848877632,NA,0.0913299012219467,0.21839955101343,0.215659048542638,0.354053759868779,NA,NA,-1.38750000699304,0.10766907352253,0.641669372349909,0.945162890117328,NA
"Ball1Mean",-0.832438054937991,0.29568570561323,0.536752349324761,NA,NA,NA,0.0995762842260002,0.166600620321168,NA,NA,NA,NA,-0.953984895769179,0.121531820582802,NA,NA,NA
"Ball1Median",-1.47858016028357,0.773949665267508,0.704630495016066,NA,NA,NA,0.11476358855214,0.217785017074919,NA,NA,NA,NA,-1.2052151508669,-0.27338218870734,NA,NA,NA
"Ball1Mode",-1.19967150558826,1.10197528395688,0.0976962216313773,NA,NA,NA,0.106488818664867,0.235277140624376,NA,NA,NA,NA,-0.898025731813197,-0.301662899092137,NA,NA,NA
"Ball2",-0.508395074999008,-2.07088649070971,2.57928156570872,NA,NA,NA,0.123967754361183,0.132300968878751,NA,NA,NA,NA,-2.58871851925463,2.08032552014098,NA,NA,NA
"Ball3",-0.237373642466374,-1.56032468956654,1.79769833203291,NA,NA,NA,0.112775993317328,0.126739375952676,NA,NA,NA,NA,-1.83079569096374,1.593426740993,NA,NA,NA
"Boat1",0.016200580782232,-0.0978022899186557,0.0816017091364237,NA,NA,NA,0.0880072190515098,0.135784356330711,NA,NA,NA,NA,-0.51468213608,0.530882886168544,NA,NA,NA
"Crab2",0.276059504351062,-1.99478627093827,0.598078451298488,-0.113421997713879,1.2340703130026,NA,0.104393588371743,0.277030793495882,0.215321331546261,0.261041184824891,NA,NA,-1.79516581936863,0.183662162394573,0.661440047180827,1.76278727255066,NA
"Crab3",-0.0862509331104845,-1.2510383054198,1.33728923853029,NA,NA,NA,0.164883869527234,0.202058172262673,NA,NA,NA,NA,-1.40514583678381,1.31890493303843,NA,NA,NA
"Headache",0.994748167014312,-1.64528519230048,-0.92852424683489,-0.491347448541968,2.07040872066302,NA,0.0854595699209761,0.218140791636616,0.174027931899276,0.201184339045954,NA,NA,-1.00202609570963,-0.00236086679804676,0.845787016856256,3.13765167580821,NA
"Max4",-1.35660067118228,-0.735509989994794,2.09211066117707,NA,NA,NA,0.112776925825672,0.138985474054197,NA,NA,NA,NA,-2.14659762891616,0.790024666009842,NA,NA,NA
"Max5",-0.199194275199998,-0.095052086332723,0.294246361532721,NA,NA,NA,0.0792348926692898,0.127610301378436,NA,NA,NA,NA,-0.674794956439559,0.475597640789276,NA,NA,NA
"ProbRed",0.00255887532049684,-1.53561353717227,2.63899627432324,-1.10594161247147,NA,NA,0.0968112163327449,0.173330097995612,0.388834701502703,NA,NA,NA,-1.55730713143572,0.744735446577199,0.885327272479025,NA,NA
"Statue6",0.586323439080793,-0.511854750528651,0.248254384267896,-1.03898155574014,0.716258482920105,NA,0.0920734750088656,0.224329982407256,0.232892753259401,0.259489959961007,NA,NA,-0.417318903820946,0.199010634360826,0.445104378780428,1.50905714143467,NA
"Statue8",0.367164981909797,-0.667061101889883,0.680550609897488,-0.446797254975047,0.0661427650576457,NA,0.0900971122225796,0.217377000205493,0.240627823141413,0.291911480848171,NA,NA,-0.598736765739374,0.244544597562018,0.478788006570094,1.00990973159256,NA
