,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14
1,3,4,4,1,1,5,1,1,5,5,2,5,5,5
2,3,4,4,1,1,5,1,1,5,5,1,1,5,1
3,3,4,4,1,1,1,1,1,5,1,1,1,5,5
4,3,1,1,6,6,1,4,5,5,5,1,1,5,5
5,3,4,4,1,1,5,1,1,5,5,2,1,5,1
6,3,4,4,1,1,5,1,1,5,5,2,1,5,5
7,3,4,4,1,1,1,1,1,5,1,1,1,1,5
8,3,4,4,6,6,5,1,1,5,1,1,1,5,5
9,3,1,4,6,6,5,1,1,5,1,2,5,5,5
10,3,4,4,6,6,5,1,1,5,5,1,1,5,1
11,3,1,1,1,1,5,1,1,5,1,1,1,5,1
12,3,1,1,6,1,5,1,1,5,1,1,1,5,1
13,3,4,4,1,1,1,1,1,5,5,2,5,5,5
14,3,1,1,1,1,5,1,1,5,5,1,5,5,5
15,3,4,4,6,1,5,4,1,5,5,1,1,5,1
16,3,4,4,1,1,1,1,5,5,5,2,5,5,1
17,3,4,4,1,1,1,1,5,5,1,1,1,1,1
18,3,4,4,1,6,1,4,1,5,5,2,5,5,5
19,3,1,1,1,1,5,4,1,5,5,1,1,5,5
20,3,1,1,6,1,1,1,1,1,1,1,1,1,1
21,3,1,1,1,6,1,1,1,1,1,1,1,5,5
22,3,1,1,6,1,5,1,1,5,5,2,5,5,1
23,3,4,4,1,1,5,1,1,5,5,1,1,5,5
24,3,4,4,6,6,5,1,1,5,5,2,5,5,5
25,3,1,4,1,1,1,4,1,5,5,1,1,1,5
26,3,4,4,6,6,1,4,5,5,5,2,5,5,5
27,3,4,4,1,1,1,1,1,5,5,1,1,1,1
28,3,4,4,1,6,1,1,1,5,5,1,1,1,5
29,3,4,4,1,1,1,4,1,1,1,1,1,1,1
30,3,4,4,1,1,5,4,5,5,5,2,5,5,1
31,3,4,4,6,6,5,4,5,1,5,1,1,5,1
32,3,4,4,6,1,5,4,5,5,5,2,5,5,1
33,3,4,4,1,1,5,4,1,5,1,1,1,1,1
34,3,4,4,1,1,5,4,5,5,5,2,5,5,5
35,3,4,4,1,1,5,4,1,5,5,2,5,5,1
