item.ID,item.name,cons.ID,item.type,fixed,cat1,cat2,cat3,cat4,cat5
1,q4,11,FR,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
2,q5,11,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
3,q6,11,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
4,q7,11,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
16,q8,22,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
5,q9,11,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
6,q10,11,FR,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
7,q11,11,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
17,q12,22,FR,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
18,q13,22,FR,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
19,q14,22,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
20,q15,22,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
21,q16,22,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
22,q17,22,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
23,q18,22,FR,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
24,q19,22,FR,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
8,q22,11,FR,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
9,q23,11,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
10,q25,11,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
11,q26,11,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
12,q27,11,FR,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
13,q28,11,FR,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
25,q29,22,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
14,q30,11,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
26,q31,22,FR,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
15,q32,11,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
27,q33,22,FR,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
28,q34,22,FR,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
