,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q22,q23,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34
110,5,5,5,4,4,4,5,5,4,4,5,5,5,5,5,4,5,4,5,5,4,4,5,5,5,5,5,4
111,5,5,4,4,3,5,NA,3,1,2,4,2,5,5,5,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,4,5,4,4,3,2,4,3,3,3,4,2,4,3,4,4,4,3,3,5,3,4,NA,NA,NA,NA,NA,NA
113,5,5,5,4,4,3,5,4,4,4,5,5,5,2,4,4,5,5,4,5,3,3,5,5,5,5,5,1
114,4,4,3,3,2,2,1,2,1,2,4,2,3,2,4,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,3,2,2,3,3,1,NA,NA,NA,1,2,1,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,4,4,4,5,4,NA,NA,NA,NA,NA,4,2,4,2,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,5,4,3,4,3,2,4,NA,3,4,4,3,4,4,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,5,5,3,4,3,2,NA,3,1,2,2,1,3,3,4,4,1,1,5,5,4,1,1,5,2,1,5,1
119,3,4,3,5,1,NA,NA,NA,3,3,2,3,3,3,3,4,4,4,4,5,3,3,2,5,4,3,2,3
120,4,5,4,4,5,4,5,4,4,4,5,5,5,4,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,4,5,5,4,4,4,1,4,3,4,3,2,4,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,4,4,5,5,3,3,3,4,3,4,5,5,4,2,5,4,NA,NA,4,4,3,1,5,5,2,3,5,4
123,4,4,3,3,3,2,5,NA,3,4,4,2,4,3,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,5,2,3,3,3,2,4,3,2,2,1,2,3,2,3,4,NA,NA,2,5,3,3,4,5,2,3,5,1
125,1,1,1,1,2,1,1,1,1,2,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1
126,4,4,3,3,3,NA,NA,NA,3,4,4,5,3,3,3,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,4,5,4,5,2,2,4,NA,NA,4,4,5,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,5,5,3,4,3,2,5,4,4,4,4,5,5,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,4,1,3,4,3,2,4,4,3,4,4,5,1,4,4,4,5,3,4,4,4,3,2,5,4,3,4,3
130,5,5,5,5,5,5,5,4,3,4,5,1,4,4,4,4,1,NA,5,4,4,4,4,5,5,4,5,4
131,4,3,2,4,2,NA,4,3,3,2,2,2,NA,2,3,4,4,NA,2,5,3,1,1,5,2,1,1,5
132,5,5,5,5,5,4,5,4,4,4,5,5,5,4,5,NA,5,4,2,5,4,4,5,5,5,4,5,4
133,4,4,3,4,2,4,NA,4,3,4,4,3,3,3,3,2,4,5,3,4,3,3,2,2,2,2,2,3
134,5,5,5,4,3,2,4,3,4,4,4,4,4,4,4,4,4,5,3,3,NA,3,4,5,4,4,5,3
135,5,4,5,4,4,2,5,4,3,4,5,5,5,4,5,4,4,4,3,5,4,3,3,5,5,4,5,4
136,4,4,5,4,4,3,4,4,3,3,4,4,4,4,4,4,NA,4,3,3,4,3,4,5,4,3,4,4
137,4,NA,4,3,3,1,1,4,4,3,4,2,4,3,4,4,2,5,3,5,4,3,4,1,4,3,5,NA
138,5,5,5,4,1,NA,4,4,3,2,2,5,3,3,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,4,5,5,4,4,NA,5,4,NA,NA,4,5,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,3,2,2,1,2,1,1,2,1,3,2,1,3,1,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,5,4,3,3,4,4,4,4,2,4,5,5,4,2,4,4,4,3,3,4,4,1,4,5,4,2,3,4
142,5,5,5,5,1,NA,5,5,4,4,4,5,4,3,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,5,5,5,4,4,3,4,4,3,4,5,5,3,5,4,4,5,5,4,5,4,3,3,5,4,4,5,4
144,5,5,4,3,4,5,5,4,3,4,4,5,3,2,4,4,4,3,4,4,4,4,2,5,4,2,5,3
145,4,1,4,3,1,2,4,3,2,2,3,5,3,4,3,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,5,5,2,4,3,2,5,NA,NA,NA,3,5,3,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,4,4,4,4,3,NA,4,4,3,NA,4,5,4,4,3,4,5,3,3,5,3,3,4,5,2,2,5,3
